350601,3506,Semen
350602,3506,Mojo
350603,3506,Kras
350604,3506,Ngadiluwih
350605,3506,Kandat
350606,3506,Wates
350607,3506,Ngancar
350608,3506,Puncu
350609,3506,Plosoklaten
350610,3506,Gurah
350611,3506,Pagu
350612,3506,Gampengrejo
350613,3506,Grogol
350614,3506,Papar
350615,3506,Purwoasri
350616,3506,Plemahan
350617,3506,Pare
350618,3506,Kepung
350619,3506,Kandangan
350620,3506,Tarokan
350621,3506,Kunjang
350622,3506,Banyakan
350623,3506,Ringinrejo
350624,3506,Kayen Kidul
350625,3506,Ngasem
350626,3506,Badas